STATE,PRODUCER,GENERATION
US-TOTAL,"Combined Heat and Power, Commercial Power",13147622.0
US-TOTAL,"Combined Heat and Power, Electric Power",132382347.0
US-TOTAL,"Combined Heat and Power, Industrial Power",139607169.0
US-TOTAL,"Electric Generators, Electric Utilities",2216234058.0
US-TOTAL,"Electric Generators, Independent Power Producers",1614168959.0
